2026-06-11 09:08:53 | INFO    | monitoring.metrics | [m6_reconciliation] n_alertes=536 | n_a_reconcilier=102426 | n_auto_fiable=100156 | n_suggestion=1961 | n_manuel=309 | taux_auto_pct=97.8 | gain_heures=5008.0 | duree_s=87.9 | n_entree=25456467
2026-06-11 09:08:53 | INFO    | monitoring.metrics | Run 20260611_084841 finalisé (1212.3s)
2026-06-11 09:08:53 | INFO    | pipeline | ═══ RUN 20260611_084841 ⚠️ PARTIEL (3 échec(s)) → /home/koceila_salem_orange_com/ML/outputs/runs/20260611_084841 ═══
2026-06-11 09:27:49 | INFO    | registry | Modèle M1_fraude publié : version 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | cli.publier | M1_fraude publié -> 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | registry | Modèle M2_mules publié : version 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | cli.publier | M2_mules publié -> 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | registry | Modèle M4_commissions publié : version 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | cli.publier | M4_commissions publié -> 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | registry | Modèle M5_echec publié : version 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | cli.publier | M5_echec publié -> 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | registry | Modèle M6_reconciliation publié : version 2026-06-11_v1
2026-06-11 09:27:49 | INFO    | cli.publier | M6_reconciliation publié -> 2026-06-11_v1
2026-06-11 09:28:16 | INFO    | cli.run_inference | Chargement : data/processed/OM_clean.parquet
2026-06-11 09:28:17 | INFO    | pipeline | ═══ RUN 20260611_092817 ═══ 25,456,467 transactions
2026-06-11 09:28:24 | INFO    | validation | ✓ Colonnes requises présentes (7)
2026-06-11 09:28:24 | INFO    | validation | ✓ Volume : 25,456,467 transactions
2026-06-11 09:28:24 | INFO    | validation | ✓ Montants numériques OK
2026-06-11 09:28:24 | INFO    | validation | ✓ Dates parsables OK
2026-06-11 09:28:24 | WARNING | validation | ⚠ 10,161 TRANSFER_ID dupliqués (dédoublonnage appliqué en aval)
2026-06-11 09:28:24 | WARNING | pipeline | Pas de références de drift (models/drift_references.json). Générer via scripts/construire_references_drift.py
2026-06-11 09:28:24 | INFO    | pipeline | Modèles à exécuter : ['m1_fraude', 'm2_mules', 'm4_commissions', 'm5_echec', 'm6_reconciliation']
2026-06-11 09:28:24 | INFO    | pipeline | Feature engineering (blocs A-D)...
2026-06-11 09:44:21 | INFO    | pipeline | Features OK : 49 colonnes f_*
2026-06-11 09:44:21 | WARNING | inference.M1_fraude | Segment faible : artefacts absents (ignoré)
